Total epochs processed: 150

{'epoch': '1', 'checkpoint_loss': 6.0874, 'average_training_loss': 6.0874, 'validation_loss': 4.6346, 'learning_rate': 0.0001}
{'epoch': '2', 'checkpoint_loss': 4.2408, 'average_training_loss': 4.2408, 'validation_loss': 3.7514, 'learning_rate': 0.0002}
{'epoch': '3', 'checkpoint_loss': 3.6295, 'average_training_loss': 3.6295, 'validation_loss': 3.3495, 'learning_rate': 0.000175}
{'epoch': '4', 'checkpoint_loss': 3.3185, 'average_training_loss': 3.3185, 'validation_loss': 3.1357, 'learning_rate': 0.00015}
{'epoch': '5', 'checkpoint_loss': 3.1311, 'average_training_loss': 3.1311, 'validation_loss': 3.0108, 'learning_rate': 0.000125}
{'epoch': '6', 'checkpoint_loss': 3.0006, 'average_training_loss': 3.0006, 'validation_loss': 2.9233, 'learning_rate': 0.0001}
{'epoch': '7', 'checkpoint_loss': 2.9029, 'average_training_loss': 2.9029, 'validation_loss': 2.862, 'learning_rate': 7.5e-05}
{'epoch': '8', 'checkpoint_loss': 2.8275, 'average_training_loss': 2.8275, 'validation_loss': 2.8173, 'learning_rate': 5e-05}
{'epoch': '9', 'checkpoint_loss': 2.7695, 'average_training_loss': 2.7695, 'validation_loss': 2.7822, 'learning_rate': 2.5e-05}
{'epoch': '10', 'checkpoint_loss': 2.7275, 'average_training_loss': 2.7275, 'validation_loss': 2.7711, 'learning_rate': 1e-05}
{'epoch': '11', 'checkpoint_loss': 2.7151, 'average_training_loss': 2.7151, 'validation_loss': 2.7722, 'learning_rate': 2.5e-05}
{'epoch': '12', 'checkpoint_loss': 2.7226, 'average_training_loss': 2.7226, 'validation_loss': 2.7665, 'learning_rate': 5e-05}
{'epoch': '13', 'checkpoint_loss': 2.7101, 'average_training_loss': 2.7101, 'validation_loss': 2.7447, 'learning_rate': 4.37e-05}
{'epoch': '14', 'checkpoint_loss': 2.681, 'average_training_loss': 2.681, 'validation_loss': 2.7317, 'learning_rate': 3.75e-05}
{'epoch': '15', 'checkpoint_loss': 2.6539, 'average_training_loss': 2.6539, 'validation_loss': 2.7151, 'learning_rate': 3.13e-05}
{'epoch': '16', 'checkpoint_loss': 2.6304, 'average_training_loss': 2.6304, 'validation_loss': 2.6997, 'learning_rate': 2.5e-05}
{'epoch': '17', 'checkpoint_loss': 2.6106, 'average_training_loss': 2.6106, 'validation_loss': 2.6909, 'learning_rate': 1.88e-05}
{'epoch': '18', 'checkpoint_loss': 2.5941, 'average_training_loss': 2.5941, 'validation_loss': 2.6842, 'learning_rate': 1.25e-05}
{'epoch': '19', 'checkpoint_loss': 2.5803, 'average_training_loss': 2.5803, 'validation_loss': 2.6779, 'learning_rate': 6.25e-06}
{'epoch': '20', 'checkpoint_loss': 2.5695, 'average_training_loss': 2.5695, 'validation_loss': 2.677, 'learning_rate': 5e-06}
{'epoch': '21', 'checkpoint_loss': 2.5696, 'average_training_loss': 2.5696, 'validation_loss': 2.6791, 'learning_rate': 1.5e-05}
{'epoch': '22', 'checkpoint_loss': 2.5785, 'average_training_loss': 2.5785, 'validation_loss': 2.6791, 'learning_rate': 3e-05}
{'epoch': '23', 'checkpoint_loss': 2.5757, 'average_training_loss': 2.5757, 'validation_loss': 2.672, 'learning_rate': 2.63e-05}
{'epoch': '24', 'checkpoint_loss': 2.5604, 'average_training_loss': 2.5604, 'validation_loss': 2.6613, 'learning_rate': 2.25e-05}
{'epoch': '25', 'checkpoint_loss': 2.5455, 'average_training_loss': 2.5455, 'validation_loss': 2.6547, 'learning_rate': 1.88e-05}
{'epoch': '26', 'checkpoint_loss': 2.5331, 'average_training_loss': 2.5331, 'validation_loss': 2.649, 'learning_rate': 1.5e-05}
{'epoch': '27', 'checkpoint_loss': 2.5219, 'average_training_loss': 2.5219, 'validation_loss': 2.6451, 'learning_rate': 1.13e-05}
{'epoch': '28', 'checkpoint_loss': 2.5125, 'average_training_loss': 2.5125, 'validation_loss': 2.6403, 'learning_rate': 7.5e-06}
{'epoch': '29', 'checkpoint_loss': 2.5045, 'average_training_loss': 2.5045, 'validation_loss': 2.6377, 'learning_rate': 3.75e-06}
{'epoch': '30', 'checkpoint_loss': 2.4978, 'average_training_loss': 2.4978, 'validation_loss': 2.6371, 'learning_rate': 2.5e-06}
{'epoch': '31', 'checkpoint_loss': 2.4968, 'average_training_loss': 2.4968, 'validation_loss': 2.6384, 'learning_rate': 5e-06}
{'epoch': '32', 'checkpoint_loss': 2.4997, 'average_training_loss': 2.4997, 'validation_loss': 2.6355, 'learning_rate': 1e-05}
{'epoch': '33', 'checkpoint_loss': 2.4989, 'average_training_loss': 2.4989, 'validation_loss': 2.6334, 'learning_rate': 8.75e-06}
{'epoch': '34', 'checkpoint_loss': 2.4939, 'average_training_loss': 2.4939, 'validation_loss': 2.6333, 'learning_rate': 7.5e-06}
{'epoch': '35', 'checkpoint_loss': 2.489, 'average_training_loss': 2.489, 'validation_loss': 2.6302, 'learning_rate': 6.25e-06}
{'epoch': '36', 'checkpoint_loss': 2.4848, 'average_training_loss': 2.4848, 'validation_loss': 2.6285, 'learning_rate': 5e-06}
{'epoch': '37', 'checkpoint_loss': 2.4807, 'average_training_loss': 2.4807, 'validation_loss': 2.627, 'learning_rate': 3.75e-06}
{'epoch': '38', 'checkpoint_loss': 2.4775, 'average_training_loss': 2.4775, 'validation_loss': 2.6263, 'learning_rate': 2.5e-06}
{'epoch': '39', 'checkpoint_loss': 2.4753, 'average_training_loss': 2.4753, 'validation_loss': 2.6251, 'learning_rate': 1.25e-06}
{'epoch': '40', 'checkpoint_loss': 2.473, 'average_training_loss': 2.473, 'validation_loss': 2.6248, 'learning_rate': 1.25e-06}
{'epoch': '41', 'checkpoint_loss': 2.4736, 'average_training_loss': 2.4736, 'validation_loss': 2.6253, 'learning_rate': 5e-06}
{'epoch': '42', 'checkpoint_loss': 2.4777, 'average_training_loss': 2.4777, 'validation_loss': 2.6244, 'learning_rate': 1e-05}
{'epoch': '43', 'checkpoint_loss': 2.4779, 'average_training_loss': 2.4779, 'validation_loss': 2.6227, 'learning_rate': 8.75e-06}
{'epoch': '44', 'checkpoint_loss': 2.4723, 'average_training_loss': 2.4723, 'validation_loss': 2.6213, 'learning_rate': 7.5e-06}
{'epoch': '45', 'checkpoint_loss': 2.4681, 'average_training_loss': 2.4681, 'validation_loss': 2.6195, 'learning_rate': 6.25e-06}
{'epoch': '46', 'checkpoint_loss': 2.4639, 'average_training_loss': 2.4639, 'validation_loss': 2.6177, 'learning_rate': 5e-06}
{'epoch': '47', 'checkpoint_loss': 2.46, 'average_training_loss': 2.46, 'validation_loss': 2.6164, 'learning_rate': 3.75e-06}
{'epoch': '48', 'checkpoint_loss': 2.4571, 'average_training_loss': 2.4571, 'validation_loss': 2.6151, 'learning_rate': 2.5e-06}
{'epoch': '49', 'checkpoint_loss': 2.4545, 'average_training_loss': 2.4545, 'validation_loss': 2.6145, 'learning_rate': 1.25e-06}
{'epoch': '50', 'checkpoint_loss': 2.4528, 'average_training_loss': 2.4528, 'validation_loss': 2.6144, 'learning_rate': 5e-06}
{'epoch': '51', 'checkpoint_loss': 2.4549, 'average_training_loss': 2.4549, 'validation_loss': 2.6146, 'learning_rate': 1e-05}
{'epoch': '52', 'checkpoint_loss': 2.4641, 'average_training_loss': 2.4641, 'validation_loss': 2.6191, 'learning_rate': 2e-05}
{'epoch': '53', 'checkpoint_loss': 2.4647, 'average_training_loss': 2.4647, 'validation_loss': 2.6148, 'learning_rate': 1.75e-05}
{'epoch': '54', 'checkpoint_loss': 2.4558, 'average_training_loss': 2.4558, 'validation_loss': 2.6106, 'learning_rate': 1.5e-05}
{'epoch': '55', 'checkpoint_loss': 2.448, 'average_training_loss': 2.448, 'validation_loss': 2.6074, 'learning_rate': 1.25e-05}
{'epoch': '56', 'checkpoint_loss': 2.4399, 'average_training_loss': 2.4399, 'validation_loss': 2.6038, 'learning_rate': 1e-05}
{'epoch': '57', 'checkpoint_loss': 2.4327, 'average_training_loss': 2.4327, 'validation_loss': 2.6012, 'learning_rate': 7.5e-06}
{'epoch': '58', 'checkpoint_loss': 2.4267, 'average_training_loss': 2.4267, 'validation_loss': 2.5983, 'learning_rate': 5e-06}
{'epoch': '59', 'checkpoint_loss': 2.4214, 'average_training_loss': 2.4214, 'validation_loss': 2.5981, 'learning_rate': 2.5e-06}
{'epoch': '60', 'checkpoint_loss': 2.4174, 'average_training_loss': 2.4174, 'validation_loss': 2.5968, 'learning_rate': 1.25e-06}
{'epoch': '61', 'checkpoint_loss': 2.4215, 'average_training_loss': 2.4215, 'validation_loss': 2.6018, 'learning_rate': 1.5e-05}
{'epoch': '62', 'checkpoint_loss': 2.436, 'average_training_loss': 2.436, 'validation_loss': 2.6056, 'learning_rate': 3e-05}
{'epoch': '63', 'checkpoint_loss': 2.4381, 'average_training_loss': 2.4381, 'validation_loss': 2.5986, 'learning_rate': 2.63e-05}
{'epoch': '64', 'checkpoint_loss': 2.4256, 'average_training_loss': 2.4256, 'validation_loss': 2.5928, 'learning_rate': 2.25e-05}
{'epoch': '65', 'checkpoint_loss': 2.4141, 'average_training_loss': 2.4141, 'validation_loss': 2.5898, 'learning_rate': 1.88e-05}
{'epoch': '66', 'checkpoint_loss': 2.4034, 'average_training_loss': 2.4034, 'validation_loss': 2.5832, 'learning_rate': 1.5e-05}
{'epoch': '67', 'checkpoint_loss': 2.3933, 'average_training_loss': 2.3933, 'validation_loss': 2.5823, 'learning_rate': 1.13e-05}
{'epoch': '68', 'checkpoint_loss': 2.3844, 'average_training_loss': 2.3844, 'validation_loss': 2.5779, 'learning_rate': 7.5e-06}
{'epoch': '69', 'checkpoint_loss': 2.3773, 'average_training_loss': 2.3773, 'validation_loss': 2.5761, 'learning_rate': 3.75e-06}
{'epoch': '70', 'checkpoint_loss': 2.3703, 'average_training_loss': 2.3703, 'validation_loss': 2.5753, 'learning_rate': 1.5e-06}
{'epoch': '71', 'checkpoint_loss': 2.3714, 'average_training_loss': 2.3714, 'validation_loss': 2.578, 'learning_rate': 1e-05}
{'epoch': '72', 'checkpoint_loss': 2.3812, 'average_training_loss': 2.3812, 'validation_loss': 2.581, 'learning_rate': 2e-05}
{'epoch': '73', 'checkpoint_loss': 2.3828, 'average_training_loss': 2.3828, 'validation_loss': 2.5753, 'learning_rate': 1.75e-05}
{'epoch': '74', 'checkpoint_loss': 2.3749, 'average_training_loss': 2.3749, 'validation_loss': 2.5736, 'learning_rate': 1.5e-05}
{'epoch': '75', 'checkpoint_loss': 2.367, 'average_training_loss': 2.367, 'validation_loss': 2.5695, 'learning_rate': 1.25e-05}
{'epoch': '76', 'checkpoint_loss': 2.3595, 'average_training_loss': 2.3595, 'validation_loss': 2.5673, 'learning_rate': 1e-05}
{'epoch': '77', 'checkpoint_loss': 2.3531, 'average_training_loss': 2.3531, 'validation_loss': 2.5664, 'learning_rate': 7.5e-06}
